episode,total_reward,reward_per_step,rolling_20ep,best_cumul,throughput_err,sinr_dl_err,sinr_ul_err,delay_err,bler_err,algo
57,-45.9676,-0.35912,-44.9115,-43.5358,1.06812,0.00141,3.9592,0.013624,0.009641,ppo
58,-45.7362,-0.35731,-44.9065,-43.5358,1.06757,0.00192,3.92976,0.006744,0.012896,ppo
59,-45.0691,-0.3521,-44.9247,-43.5358,1.0676,0.00172,3.82772,0.006306,0.008728,ppo
60,-45.8562,-0.35825,-45.0244,-43.5358,1.0681,0.00179,3.94864,0.006426,0.009705,ppo
61,-45.1302,-0.35258,-45.1042,-43.5358,1.0687,0.00146,3.8273,0.013079,0.009103,ppo
62,-46.2005,-0.36094,-45.1756,-43.5358,1.068,0.0014,3.99555,0.013894,0.009952,ppo
63,-45.9918,-0.35931,-45.2685,-43.5358,1.06708,0.00151,3.9711,0.007987,0.010916,ppo
64,-44.2198,-0.34547,-45.1717,-43.5358,1.06711,0.00166,3.69653,0.006555,0.008161,ppo
65,-45.6027,-0.35627,-45.1635,-43.5358,1.0681,0.00143,3.90253,0.013389,0.009401,ppo
66,-45.9484,-0.35897,-45.2696,-43.5358,1.0681,0.0018,3.96292,0.006459,0.009942,ppo
67,-43.5233,-0.34003,-45.1774,-43.5233,1.06791,0.0016,3.5852,0.006735,0.008113,ppo
68,-45.9818,-0.35923,-45.2031,-43.5233,1.06891,0.00185,3.96496,0.006617,0.011253,ppo
69,-45.9924,-0.35932,-45.2905,-43.5233,1.06883,0.00184,3.96696,0.006601,0.011084,ppo
70,-45.8946,-0.35855,-45.314,-43.5233,1.06699,0.0016,3.95604,0.007822,0.011516,ppo
71,-45.853,-0.35823,-45.405,-43.5233,1.06716,0.00165,3.94896,0.007698,0.011848,ppo
72,-44.0696,-0.34429,-45.3172,-43.5233,1.06721,0.00165,3.67276,0.006568,0.008115,ppo
73,-46.0006,-0.35938,-45.4224,-43.5233,1.06744,0.00181,3.97278,0.006525,0.010381,ppo
74,-44.3882,-0.34678,-45.3412,-43.5233,1.06891,0.00151,3.71102,0.012939,0.008608,ppo
75,-45.8166,-0.35794,-45.4516,-43.5233,1.06802,0.00191,3.94115,0.006693,0.012585,ppo
76,-45.7041,-0.35706,-45.4473,-43.5233,1.0678,0.00143,3.91921,0.013455,0.009463,ppo
77,-45.9486,-0.35897,-45.4464,-43.5233,1.068,0.00141,3.95659,0.013609,0.009626,ppo
78,-45.9348,-0.35887,-45.4563,-43.5233,1.06875,0.00187,3.95779,0.006661,0.011849,ppo
79,-43.9897,-0.34367,-45.4023,-43.5233,1.06827,0.00154,3.65092,0.012749,0.008364,ppo
80,-45.774,-0.35761,-45.3982,-43.5233,1.06804,0.00184,3.93404,0.007093,0.012732,ppo
81,-43.5202,-0.34,-45.3177,-43.5202,1.06808,0.00159,3.58421,0.006744,0.008118,ppo
82,-45.8379,-0.35811,-45.2996,-43.5202,1.06722,0.00166,3.94641,0.007656,0.011946,ppo
83,-43.8997,-0.34297,-45.195,-43.5202,1.06862,0.00155,3.64161,0.006975,0.008337,ppo
84,-45.8632,-0.35831,-45.2772,-43.5202,1.06714,0.00164,3.95062,0.00772,0.011795,ppo
85,-45.3938,-0.35464,-45.2667,-43.5202,1.069,0.00145,3.86739,0.013241,0.009245,ppo
86,-44.2449,-0.34566,-45.1815,-43.5202,1.06722,0.00167,3.70012,0.006552,0.008164,ppo
87,-43.5358,-0.34012,-45.1822,-43.5202,1.06828,0.00158,3.58598,0.006787,0.008146,ppo
88,-45.0028,-0.35158,-45.1332,-43.5202,1.06755,0.00172,3.81754,0.006298,0.008661,ppo
89,-45.9762,-0.35919,-45.1324,-43.5202,1.06873,0.00185,3.96455,0.00663,0.011395,ppo
90,-45.8211,-0.35798,-45.1287,-43.5202,1.0678,0.00171,3.94204,0.007529,0.012189,ppo
91,-44.0879,-0.34444,-45.0405,-43.5202,1.06723,0.00165,3.67559,0.006565,0.008116,ppo
92,-44.6992,-0.34921,-45.072,-43.5202,1.06841,0.00149,3.76088,0.013116,0.008826,ppo
93,-44.1435,-0.34487,-44.9791,-43.5202,1.06718,0.00166,3.68441,0.00656,0.008136,ppo
94,-43.9883,-0.34366,-44.9591,-43.5202,1.0672,0.00165,3.66012,0.00658,0.008092,ppo
95,-44.1891,-0.34523,-44.8777,-43.5202,1.06847,0.00153,3.68137,0.012839,0.008473,ppo
96,-45.9185,-0.35874,-44.8885,-43.5202,1.06893,0.00188,3.95462,0.006665,0.01203,ppo
97,-43.5939,-0.34058,-44.7707,-43.5202,1.06863,0.00157,3.59399,0.006833,0.00818,ppo
98,-45.8253,-0.35801,-44.7652,-43.5202,1.06832,0.00191,3.94162,0.00669,0.01255,ppo
