episode,total_reward,reward_per_step,rolling_20ep,best_cumul,throughput_err,sinr_dl_err,sinr_ul_err,delay_err,bler_err,algo
55,-29.1067,-0.4548,-31.4951,-27.099,0.843,0.3959,4.4861,0.6538,2.5778,ppo_live
56,-33.1181,-0.5175,-31.5,-27.099,0.982,0.3913,5.6251,0.436,2.3774,ppo_live
57,-28.6853,-0.4482,-31.3292,-27.099,0.9377,0.4083,4.3351,0.5102,2.2437,ppo_live
58,-27.7484,-0.4336,-31.0802,-27.099,0.8823,0.4049,4.4352,0.3153,2.1726,ppo_live
59,-28.3206,-0.4425,-31.0097,-27.099,0.8947,0.4188,4.2394,0.5329,2.4377,ppo_live
60,-28.9103,-0.4517,-30.7508,-27.099,0.8143,0.424,4.5666,0.344,3.1427,ppo_live
61,-30.6163,-0.4784,-30.8175,-27.099,0.8919,0.4037,4.93,0.3093,3.1219,ppo_live
62,-27.5376,-0.4303,-30.6124,-27.099,0.8884,0.412,4.0918,0.2513,2.9628,ppo_live
63,-31.0345,-0.4849,-30.579,-27.099,0.9559,0.4357,4.5224,0.6731,2.9987,ppo_live
64,-28.1,-0.4391,-30.4614,-27.099,0.8416,0.4095,4.2572,0.335,3.1366,ppo_live
65,-33.3254,-0.5207,-30.7728,-27.099,0.946,0.4691,5.2119,0.392,3.7576,ppo_live
66,-30.5971,-0.4781,-30.7266,-27.099,0.899,0.4264,4.8627,0.3814,2.9851,ppo_live
67,-31.8396,-0.4975,-30.6229,-27.099,0.881,0.4271,5.0074,0.6885,2.9592,ppo_live
68,-29.9349,-0.4677,-30.3221,-27.099,0.8941,0.4966,3.9756,0.9118,3.2213,ppo_live
69,-29.1003,-0.4547,-30.096,-27.099,0.8774,0.4243,4.325,0.5315,2.9518,ppo_live
70,-28.7793,-0.4497,-29.7974,-27.099,0.8597,0.4518,4.0576,0.6336,3.1788,ppo_live
71,-29.6271,-0.4629,-29.7188,-27.099,0.8986,0.3956,4.7019,0.4589,2.5157,ppo_live
72,-30.1408,-0.471,-29.7993,-27.099,0.854,0.4439,4.8197,0.3973,2.99,ppo_live
73,-27.7139,-0.433,-29.5995,-27.099,0.8785,0.4169,4.0983,0.3848,2.8127,ppo_live
74,-28.83,-0.4505,-29.6533,-27.099,0.9398,0.3781,4.2959,0.4821,2.5847,ppo_live
75,-27.9211,-0.4363,-29.594,-27.099,0.9117,0.3928,3.9918,0.6293,2.4411,ppo_live
76,-29.6747,-0.4637,-29.4219,-27.099,0.8924,0.4279,4.6944,0.4399,2.5848,ppo_live
77,-24.9045,-0.3891,-29.2328,-24.9045,0.8575,0.3868,3.6556,0.2212,2.3662,ppo_live
78,-28.2466,-0.4414,-29.2577,-24.9045,0.8311,0.4335,4.282,0.4557,2.9061,ppo_live
79,-27.6197,-0.4316,-29.2227,-24.9045,0.7443,0.4011,4.4143,0.4767,2.7656,ppo_live
80,-26.5252,-0.4145,-29.1034,-24.9045,0.8916,0.3891,3.8184,0.4588,2.3696,ppo_live
81,-23.1388,-0.3615,-28.7296,-23.1388,0.9305,0.397,2.7989,0.2797,2.4097,ppo_live
82,-25.032,-0.3911,-28.6043,-23.1388,0.9549,0.4782,2.8146,0.5181,2.867,ppo_live
83,-29.4009,-0.4594,-28.5226,-23.1388,0.9544,0.4232,4.0833,0.7682,2.6247,ppo_live
84,-29.5417,-0.4616,-28.5947,-23.1388,0.862,0.413,4.4375,0.7351,2.6507,ppo_live
85,-28.3884,-0.4436,-28.3478,-23.1388,0.8735,0.4357,3.7817,0.908,2.8134,ppo_live
86,-27.317,-0.4268,-28.1838,-23.1388,0.9223,0.4289,3.375,0.987,2.4467,ppo_live
87,-27.6215,-0.4316,-27.9729,-23.1388,0.9454,0.4075,3.6704,0.7138,2.5096,ppo_live
88,-29.1674,-0.4557,-27.9345,-23.1388,0.9745,0.3859,4.0376,0.7508,2.5427,ppo_live
89,-29.7875,-0.4654,-27.9689,-23.1388,0.8945,0.3895,4.2111,0.9518,2.6818,ppo_live
90,-31.0081,-0.4845,-28.0803,-23.1388,0.9037,0.3991,4.2188,1.2587,2.7555,ppo_live
91,-28.2475,-0.4414,-28.0114,-23.1388,0.9583,0.4218,3.472,0.9005,2.895,ppo_live
92,-28.644,-0.4476,-27.9365,-23.1388,0.9728,0.4183,3.9624,0.6559,2.4907,ppo_live
93,-25.123,-0.3925,-27.807,-23.1388,0.8981,0.4101,3.3598,0.5419,2.1123,ppo_live
94,-25.2493,-0.3945,-27.6279,-23.1388,0.8962,0.4307,3.3376,0.5283,2.263,ppo_live
95,-25.0764,-0.3918,-27.4857,-23.1388,0.8806,0.4233,3.3473,0.5735,2.1264,ppo_live
96,-24.2681,-0.3792,-27.2154,-23.1388,0.8494,0.422,3.1588,0.3627,2.7297,ppo_live
97,-30.0828,-0.47,-27.4743,-23.1388,0.8728,0.4629,4.0275,1.111,2.9523,ppo_live
98,-30.3512,-0.4742,-27.5795,-23.1388,0.9354,0.4477,4.4766,0.6369,2.7936,ppo_live
99,-27.8777,-0.4356,-27.5924,-23.1388,0.917,0.4119,4.1303,0.3993,2.5487,ppo_live
100,-27.2463,-0.4257,-27.6285,-23.1388,0.8611,0.4753,3.7838,0.7018,2.4259,ppo_live
101,-28.0218,-0.4378,-27.8726,-23.1388,0.9639,0.4267,3.9822,0.5473,2.2725,ppo_live
102,-25.777,-0.4028,-27.9099,-23.1388,0.8562,0.4341,3.2996,0.7419,2.5277,ppo_live
103,-24.4788,-0.3825,-27.6638,-23.1388,0.9091,0.4387,2.6863,0.8573,2.3501,ppo_live
104,-28.2977,-0.4422,-27.6016,-23.1388,0.9252,0.3881,3.9923,0.8653,2.0542,ppo_live
105,-27.6754,-0.4324,-27.5659,-23.1388,0.9228,0.3863,3.6827,0.8617,2.3737,ppo_live
106,-27.8382,-0.435,-27.592,-23.1388,0.8888,0.3888,3.6924,1.0037,2.3703,ppo_live
107,-26.9435,-0.421,-27.5581,-23.1388,0.8877,0.3973,3.4913,0.8819,2.4654,ppo_live
108,-26.4611,-0.4135,-27.4228,-23.1388,0.9416,0.3822,3.6107,0.5691,2.2054,ppo_live
109,-25.5235,-0.3988,-27.2096,-23.1388,0.9116,0.4046,3.5084,0.5129,2.0387,ppo_live
110,-25.4026,-0.3969,-26.9293,-23.1388,0.8507,0.4073,3.7093,0.445,2.0611,ppo_live
