episode,total_reward,sinr_dl,sinr_ul,throughput_mbps,delay_ms,bler_pct
0,-45.97552606463432,0.001855312499999985,3.963899921875,1.0689003124999998,0.006635390625,0.011460937499999997
1,-46.10012501478195,0.001401328125000012,3.98096109375,1.067708125,0.013750546875000002,0.009767968750000038
2,-45.7503679394722,0.0018962499999999548,3.93022734375,1.068127734375,0.0068410937500000026,0.012867734375000005
3,-43.766778379678726,0.0015567968750000271,3.6220517968750006,1.06823765625,0.006927656249999995,0.0082747656249999
4,-44.953673988580704,0.0014749218750000179,3.80061890625,1.068446640625,0.012977968749999992,0.008999609375000012
5,-45.74883985519409,0.0019032812499999528,3.93022703125,1.068054375,0.006811093750000003,0.012879218750000004
6,-45.36847135424614,0.0014475000000000158,3.864198984375,1.06875234375,0.013227578124999997,0.009231406250000053
7,-45.90557110309601,0.0018856249999999678,3.9531549999999998,1.068727734375,0.0066706249999999995,0.012127578125000031
8,-45.7503679394722,0.0018962499999999548,3.93022734375,1.068127734375,0.0068410937500000026,0.012867734375000005
9,-45.8983773291111,0.0015841406249999827,3.957866328125,1.066583984375,0.007849453125000006,0.011423984374999962
10,-45.91889515519142,0.0017918749999999996,3.95861953125,1.06801078125,0.006445234374999997,0.009845937499999912
11,-45.52479267120361,0.0014365625000000107,3.889661484375,1.06835890625,0.013336562499999998,0.009343828125000049
12,-46.0097393989563,0.0018203906249999846,3.970895,1.0685015625,0.006553281249999996,0.010621015624999959
13,-44.70442691445351,0.0016962500000000209,3.767611015625,1.068706484375,0.006278515624999996,0.008403671874999973
14,-46.054890513420105,0.001404609375000012,3.97375734375,1.06777453125,0.013703750000000002,0.009718359375
15,-46.075535506010056,0.001403593750000014,3.9759351562500003,1.06811765625,0.013717578125000001,0.009732812500000007
16,-45.467131584882736,0.0014403125000000063,3.8801759375000002,1.0685360156250001,0.013295703124999995,0.00929828125000005
17,-44.11098515987396,0.001534062500000018,3.6682013281250003,1.06881171875,0.012801796874999993,0.008422734374999831
18,-43.89971527457237,0.0015470312500000258,3.641612578125,1.068620390625,0.006974921874999995,0.008337031249999906
19,-45.54644712805748,0.0017632812500000025,3.9024987500000003,1.067435546875,0.006358749999999997,0.009262343749999872
20,-46.01099780201912,0.0018279687499999815,3.97005484375,1.068809453125,0.006577343749999996,0.010824687500000006
21,-46.09287282824516,0.0014017968750000092,3.979582265625,1.067795390625,0.013738828125000001,0.009755781250000041
22,-45.98447912931442,0.0018013281249999943,3.96824890625,1.068167265625,0.006484531249999996,0.010095703124999973
23,-44.313302129507065,0.0015193750000000196,3.7011256250000004,1.06832609375,0.012905390624999994,0.008561953124999886
24,-45.78172370791435,0.0019178906249999641,3.934743671875,1.068308515625,0.006700390625000003,0.01276703125000005
25,-45.95502495765686,0.001863046874999988,3.961703984375,1.0685359375,0.006645234375000001,0.011631406250000018
26,-45.82529437541962,0.0019071874999999653,3.9416182812499994,1.0683221875000002,0.006690234375000003,0.012549921875000083
27,-45.91889515519142,0.0017918749999999996,3.95861953125,1.06801078125,0.006445234374999997,0.009845937499999912
28,-44.65434494614601,0.0016935937500000184,3.760819296875,1.06836890625,0.006272968749999996,0.00837203124999996
29,-44.08407536149025,0.0015356250000000183,3.6645471875,1.06863234375,0.012791874999999992,0.008412656249999848
30,-44.942757695913315,0.0017152343750000154,3.8087530468749997,1.0673657031250001,0.0062954687499999955,0.008612578124999944
31,-46.01377719640732,0.0018192187499999827,3.971366953125,1.0685611718749999,0.006548828124999994,0.010585390624999965
32,-43.53576672077179,0.0015849218750000212,3.5859821093749997,1.06828375,0.006787031249999994,0.008145624999999965
33,-45.87335276603699,0.0016309374999999796,3.9514885937499997,1.067383515625,0.007742500000000006,0.011747031249999925
34,-46.18735444545746,0.001395781250000014,3.9934034374999996,1.0680576562500002,0.013853671875000001,0.009870703125000069
35,-45.76812207698822,0.0018625781249999535,3.932252421875,1.068350390625,0.006984687500000001,0.012795546874999997
36,-45.79488730430603,0.0017682812499999596,3.93689953125,1.0681494531249998,0.0073347656250000014,0.012500546874999956
37,-44.73649027943611,0.0014895312500000195,3.767155546875,1.0682503906249998,0.013139765624999992,0.008851484374999956
38,-45.83669915795326,0.0019040624999999657,3.942879921875,1.0685067187500001,0.0066865625000000015,0.01248382812500009
39,-44.70442691445351,0.0016962500000000209,3.767611015625,1.068706484375,0.006278515624999996,0.008403671874999973
40,-43.861735463142395,0.001636015625000034,3.6387275,1.0677328906249999,0.006603515624999999,0.00807617187499991
41,-43.53576672077179,0.0015849218750000212,3.5859821093749997,1.06828375,0.006787031249999994,0.008145624999999965
42,-44.77095311880112,0.0014865625000000198,3.77365671875,1.06786703125,0.013164765624999991,0.008880703124999983
43,-44.1340426504612,0.0015323437500000178,3.6711803906250005,1.0690151562499999,0.012811406249999994,0.008436406249999836
44,-46.15568423271179,0.001435390625000003,3.988427421875,1.06799875,0.013859609375000002,0.010267499999999988
45,-45.76783135533333,0.001854843749999952,3.9328853125,1.0681193750000002,0.007015468750000001,0.012774765625000007
46,-43.82524216175079,0.0016329687500000343,3.6326567968750005,1.067854921875,0.006611875,0.008069218749999881
47,-45.36847135424614,0.0014475000000000158,3.864198984375,1.06875234375,0.013227578124999997,0.009231406250000053
48,-45.467131584882736,0.0014403125000000063,3.8801759375000002,1.0685360156250001,0.013295703124999995,0.00929828125000005
49,-44.24490249156952,0.0016656250000000158,3.700121484375,1.067220390625,0.006551953124999998,0.008164453124999884
50,-45.424050867557526,0.0014431250000000076,3.8736391406250004,1.06848265625,0.013269218749999995,0.009271250000000047
51,-44.03281056880951,0.0016496875000000218,3.6669009375000003,1.06725296875,0.006575624999999997,0.00810374999999989
52,-45.82502567768097,0.0016813281249999765,3.944511796875,1.067181015625,0.007606015625000004,0.0120452343749999
53,-43.89829137921333,0.001639218750000033,3.6450255468750004,1.067538671875,0.006595156249999999,0.008080234374999874
54,-46.012193620204926,0.0018295312499999861,3.9695069531250002,1.0690477343750002,0.006580703124999997,0.010862109375000019
55,-43.607638627290726,0.001572968750000027,3.596185078125,1.068606640625,0.006841171874999994,0.008186015624999949
56,-45.78954580426216,0.0017642187499999594,3.93689953125,1.0678705468749998,0.007348750000000001,0.01248101562499995
57,-45.967647045850754,0.0014102343750000135,3.959199140625,1.0681184375,0.01362375,0.00964101562500001
58,-45.736169666051865,0.0019176562499999563,3.9297563281250003,1.0675665625000001,0.0067442968750000025,0.012896328125000016
59,-45.069122672080994,0.0017246093750000189,3.8277219531249997,1.0676021875,0.006306015624999994,0.008728203124999917
60,-45.85620513558388,0.0017856250000000144,3.9486357031250003,1.0681008593749999,0.006426015624999998,0.009705312499999862
61,-45.13017466664314,0.0014633593750000187,3.82730265625,1.068701328125,0.013078515624999992,0.009103203125000042
62,-46.20048442482948,0.0013989843750000087,3.9955453125,1.06800234375,0.013893593750000002,0.009951953125000022
63,-45.9917947947979,0.0015148437499999936,3.971097421875,1.067084140625,0.007986953125000003,0.01091578124999996
64,-44.21982258558273,0.0016643750000000152,3.69653453125,1.06710984375,0.006554531249999999,0.008160781249999895
65,-45.60269659757614,0.0014317187500000137,3.90253109375,1.0681030468750001,0.013388984375,0.009401015625000038
66,-45.94843548536301,0.0017953125,3.9629153125,1.068098671875,0.006459453124999997,0.009942343749999947
67,-43.52326226234436,0.001598515625000033,3.5851988281250002,1.0679106250000001,0.0067353906249999936,0.008112812499999976
68,-45.98175519704819,0.0018463281249999858,3.964959765625,1.068908203125,0.006617499999999998,0.011252578125000015
69,-45.99239802360535,0.001839062499999986,3.966960078125,1.068826015625,0.006601484374999998,0.011083750000000014
70,-45.894588619470596,0.0015971093749999835,3.956042578125,1.0669871875,0.007821796875000005,0.011516093749999946
71,-45.85300025343895,0.0016478124999999772,3.948959375,1.06716234375,0.007697968750000006,0.011847812499999883
72,-44.06955936551094,0.0016526562500000187,3.672759375,1.0672141406250002,0.006568359374999997,0.008114609374999898
73,-46.00057980418205,0.001811328124999981,3.972776640625,1.0674416406249998,0.006525468749999996,0.010380546874999966
74,-44.38818573951721,0.0015149218750000245,3.7110232031250003,1.068911171875,0.012939218749999995,0.00860789062499988
75,-45.816636979579926,0.0019088281249999652,3.9411548437499997,1.06801953125,0.006693125000000003,0.012585312500000088
76,-45.70414823293686,0.0014250781250000105,3.91920640625,1.067800546875,0.013454687500000001,0.009463359374999996
77,-45.948603838682175,0.001411328125000016,3.9565874999999995,1.0680036718750001,0.013609218750000002,0.009625703125000008
78,-45.934820741415024,0.0018724999999999792,3.9577892968749997,1.068751328125,0.006660546874999999,0.011848515625000028
79,-43.98966407775879,0.0015418750000000237,3.6509245312500003,1.068274609375,0.012749062499999993,0.008364296874999873
80,-45.77397772669792,0.001835468749999946,3.934043828125,1.0680398437499998,0.007092578125,0.012731562499999998
81,-43.520198464393616,0.0015946875000000262,3.584212578125,1.0680773437500002,0.006744374999999992,0.008118359375000005
82,-45.83787137269974,0.001664609374999981,3.94640875,1.067219765625,0.0076561718750000046,0.011946484374999893
83,-43.89971527457237,0.0015470312500000258,3.641612578125,1.068620390625,0.006974921874999995,0.008337031249999906
84,-45.8631551861763,0.0016394531249999784,3.9506246875,1.067138671875,0.007719921875000007,0.011794843749999905
85,-45.39375525712967,0.0014458593750000122,3.8673891406250003,1.069,0.013241328124999993,0.009244843750000044
86,-44.24490249156952,0.0016656250000000158,3.700121484375,1.067220390625,0.006551953124999998,0.008164453124999884
87,-43.53576672077179,0.0015849218750000212,3.5859821093749997,1.06828375,0.006787031249999994,0.008145624999999965
88,-45.00275528430939,0.0017199218750000157,3.817539296875,1.06755296875,0.006298046874999995,0.008660859374999923
89,-45.97623407840729,0.0018522656249999859,3.9645536718749996,1.06873078125,0.006630312499999999,0.011394921875000033
90,-45.82106387615204,0.0017066406249999766,3.942041171875,1.067796171875,0.007529296875000004,0.012189062499999922
91,-44.087942868471146,0.0016541406250000137,3.67559140625,1.0672279687500001,0.006565156249999997,0.008116171874999894
92,-44.69918668270111,0.0014927343750000158,3.760884765625,1.0684080468750001,0.013115781249999993,0.008826249999999949
93,-44.143523156642914,0.0016587500000000183,3.6844143750000002,1.067179375,0.006559687499999998,0.008136406249999898
94,-43.98834076523781,0.001646484375000023,3.6601175,1.0671990625000003,0.006580390624999998,0.008091718749999902
95,-44.1890566945076,0.0015278906250000153,3.6813740625,1.06847015625,0.012838593749999992,0.008472734374999857
96,-45.91851204633713,0.0018808593749999683,3.954622734375,1.06892890625,0.006665,0.012030468750000028
97,-43.59389153122902,0.0015744531250000274,3.5939862500000004,1.06862671875,0.006832578124999994,0.008180312499999953
98,-45.82529437541962,0.0019071874999999653,3.9416182812499994,1.0683221875000002,0.006690234375000003,0.012549921875000083
99,-46.03706169128418,0.0014842187500000007,3.977723515625,1.06725703125,0.008042265625000003,0.010674531250000015
100,-45.897593915462494,0.0018908593749999694,3.950779765625,1.069088359375,0.00667328125,0.012225156250000018
101,-45.96222096681595,0.00186132812499999,3.96233859375,1.0687053125000001,0.0066431250000000015,0.011595078125000005
102,-45.67952582240105,0.001426484375000009,3.915924921875,1.067618046875,0.013440390625000001,0.009449921875
103,-46.00147742033005,0.0018321874999999866,3.968403359375,1.06884625,0.0065881249999999985,0.010921015625000018
104,-45.97623407840729,0.0018522656249999859,3.9645536718749996,1.06873078125,0.006630312499999999,0.011394921875000033
105,-44.60575997829437,0.0014984375000000195,3.7474440625000005,1.0680450000000001,0.013065312499999992,0.008767968749999886
106,-45.84196385741234,0.0017843750000000155,3.9465528125,1.06806015625,0.006420312499999999,0.009672187499999858
107,-45.736169666051865,0.0019176562499999563,3.9297563281250003,1.0675665625000001,0.0067442968750000025,0.012896328125000016
108,-43.766778379678726,0.0015567968750000271,3.6220517968750006,1.06823765625,0.006927656249999995,0.0082747656249999
109,-44.69918668270111,0.0014927343750000158,3.760884765625,1.0684080468750001,0.013115781249999993,0.008826249999999949
110,-45.088946372270584,0.0017262500000000149,3.831319921875,1.0674314062499999,0.006306796874999995,0.008751718749999906
111,-44.24490249156952,0.0016656250000000158,3.700121484375,1.067220390625,0.006551953124999998,0.008164453124999884
112,-43.57022812962532,0.0015778906250000255,3.59123359375,1.06831640625,0.006819609374999994,0.008169609374999963
113,-46.00086709856987,0.001510390624999993,3.971614921875,1.0673878124999998,0.007993593750000003,0.010882890624999957
114,-45.97552606463432,0.001855312499999985,3.963899921875,1.0689003124999998,0.006635390625,0.011460937499999997
115,-45.86292693018913,0.0018958593749999648,3.947161484375,1.0684710156250001,0.006679062500000001,0.012332187500000029
116,-45.97439870238304,0.001799140624999997,3.9672535937499998,1.067985390625,0.006475468749999997,0.010038515624999932
117,-44.08407536149025,0.0015356250000000183,3.6645471875,1.06863234375,0.012791874999999992,0.008412656249999848
118,-45.88149842619896,0.0018923437499999707,3.9493491406249994,1.06872140625,0.006674921875000001,0.01225875000000003
119,-43.71713614463806,0.0016234375000000367,3.61577046875,1.0678442968750002,0.006644609374999997,0.008077812499999937
120,-45.825585812330246,0.0016896093749999776,3.944215859375,1.067308046875,0.007580781250000004,0.012093515624999902
121,-45.76528590917587,0.0018434374999999497,3.93330578125,1.06783828125,0.0070615625,0.012750781249999999
122,-45.77259859442711,0.0018278124999999493,3.934043828125,1.0679642187499998,0.007121250000000001,0.012707499999999977
123,-45.84721124172211,0.0014165625000000196,3.9418528906250003,1.067662734375,0.013544375,0.00956179687499997
124,-43.97236967086792,0.001543593750000023,3.6481457031250004,1.06830484375,0.012737656249999993,0.008353203124999887
125,-45.81420198082924,0.0017358593749999725,3.93874359375,1.0685371875,0.007439843750000001,0.012345546874999936
126,-46.054890513420105,0.001404609375000012,3.97375734375,1.06777453125,0.013703750000000002,0.009718359375
127,-45.79488730430603,0.0017682812499999596,3.93689953125,1.0681494531249998,0.0073347656250000014,0.012500546874999956
128,-43.644361704587936,0.0016164062500000406,3.6034750781250002,1.06814390625,0.006671484374999995,0.008092109374999941
129,-44.47558879852295,0.001681484375000011,3.7331717968750002,1.068294453125,0.0062647656249999965,0.008273359374999928
130,-43.57998523116112,0.0015761718750000263,3.5926157031250003,1.068361640625,0.006827499999999993,0.008171015624999951
131,-45.75341573357582,0.0014227343750000101,3.925520859375,1.068250859375,0.013478906250000002,0.009490312500000021
132,-44.16413468122482,0.0015295312500000163,3.6777760937500004,1.06837625,0.012828984374999993,0.008456718749999866
133,-45.954014867544174,0.0015365624999999854,3.966287734375,1.06670296875,0.007948671875000004,0.011082421875000003
134,-46.054441422224045,0.001471015625000003,3.9808421093749997,1.0671362500000001,0.008058828125000002,0.010564453124999987
135,-45.994237661361694,0.001804687499999986,3.9707060937499996,1.0678356249999998,0.0065007031249999965,0.010203124999999964
136,-45.89602208137512,0.0016177343749999825,3.95392046875,1.0677596875,0.007772265625000005,0.011659843749999933
137,-45.770968198776245,0.0019192968749999618,3.9337227343750003,1.06808375,0.006701640625000003,0.012797109375000065
138,-43.644361704587936,0.0016164062500000406,3.6034750781250002,1.06814390625,0.006671484374999995,0.008092109374999941
139,-44.16413468122482,0.0015295312500000163,3.6777760937500004,1.06837625,0.012828984374999993,0.008456718749999866
140,-45.95895463228226,0.0018677343749999836,3.960316953125,1.069183125,0.0066553125,0.011743203124999997
141,-45.48693150281906,0.0017587500000000001,3.893135625,1.0674708593750002,0.006350781249999996,0.009188281249999911
142,-44.40204247832298,0.0016771875000000133,3.7234244531250003,1.067718984375,0.0062646093749999954,0.00823984374999992
143,-45.89699050784111,0.001601328124999982,3.955324296875,1.0673490625,0.007813437500000006,0.011546328124999939
144,-45.956855565309525,0.0015322656249999902,3.9671816406250002,1.06655671875,0.007956171875000004,0.011046171874999986
145,-45.9677714407444,0.0018583593749999874,3.9630856249999997,1.068756953125,0.0066385937499999995,0.011527109375000018
146,-45.04639199376106,0.0017232031250000149,3.823769921875,1.0677398437499999,0.006303437499999994,0.008706640624999915
147,-44.91575711965561,0.0014778125000000206,3.79436890625,1.0684713281249998,0.013238906249999993,0.00896859374999998
148,-43.607638627290726,0.001572968750000027,3.596185078125,1.068606640625,0.006841171874999994,0.008186015624999949
149,-44.953673988580704,0.0014749218750000179,3.80061890625,1.068446640625,0.012977968749999992,0.008999609375000012
150,-43.75203648209572,0.0015583593750000278,3.618985078125,1.068495703125,0.006918593749999994,0.0082664062499999
151,-45.75496420264244,0.0018889062499999566,3.9307654687499998,1.0681813281249999,0.006873359375000002,0.012853593749999965
152,-45.98447912931442,0.0018013281249999943,3.96824890625,1.068167265625,0.006484531249999996,0.010095703124999973
153,-45.8733526468277,0.0017868750000000115,3.950566953125,1.06834484375,0.006430390624999999,0.00973148437499986
154,-43.62387752532959,0.0015712500000000231,3.598901875,1.0685428906249999,0.006850234374999994,0.008197109374999938
155,-45.759131491184235,0.0018849999999999546,3.930825078125,1.0683759375,0.006890000000000003,0.012841015624999945
156,-46.00797641277313,0.001816562499999978,3.97210515625,1.068025390625,0.0065415624999999936,0.010517109374999993
157,-44.74360942840576,0.0017006250000000203,3.776293984375,1.0678446093749998,0.006279999999999997,0.008451328124999952
158,-45.915217101573944,0.001571328124999981,3.9597415624999996,1.066842109375,0.007879062500000004,0.011336015624999992
159,-46.00578889250755,0.0018153124999999788,3.9721192968750003,1.0679127343750001,0.006538124999999994,0.01048390624999999
