episode,total_reward,reward_per_step,rolling_20ep,best_cumul,throughput_err,sinr_dl_err,sinr_ul_err,delay_err,bler_err,algo
55,-53.4868,-0.8357,-53.0722,-41.651,0.9492,0.3848,6.1162,0.4052,2.1115,ppo_live2
56,-50.0741,-0.7824,-52.5424,-41.651,0.934,0.4652,5.4249,0.4187,2.7807,ppo_live2
57,-52.0528,-0.8133,-52.4746,-41.651,0.9246,0.4157,5.9227,0.269,2.4069,ppo_live2
58,-43.8413,-0.685,-52.0772,-41.651,0.9555,0.4293,4.4138,0.4224,2.8864,ppo_live2
59,-53.0052,-0.8282,-52.2228,-41.651,0.9326,0.4182,5.7804,0.5705,3.0418,ppo_live2
60,-51.9878,-0.8123,-52.1851,-41.651,0.8839,0.4579,5.5891,0.6113,3.3676,ppo_live2
61,-54.4355,-0.8506,-52.1386,-41.651,0.8918,0.4716,5.8881,0.7946,3.233,ppo_live2
62,-51.0777,-0.7981,-51.9679,-41.651,0.868,0.4169,5.1757,1.4745,2.787,ppo_live2
63,-46.6605,-0.7291,-51.3603,-41.651,0.9418,0.3452,4.6897,1.032,2.4989,ppo_live2
64,-52.2031,-0.8157,-51.2345,-41.651,0.9187,0.5379,5.2911,1.0135,3.5599,ppo_live2
65,-55.6691,-0.8698,-51.3558,-41.651,0.9788,0.438,6.0131,0.9319,2.6601,ppo_live2
66,-52.5297,-0.8208,-51.6264,-41.651,0.9104,0.4381,5.7109,0.6833,2.8527,ppo_live2
67,-50.8265,-0.7942,-51.6471,-41.651,0.941,0.4534,5.4646,0.5402,2.8432,ppo_live2
68,-50.6338,-0.7912,-51.481,-41.651,0.9533,0.443,5.3675,0.5833,3.0043,ppo_live2
69,-52.7042,-0.8235,-51.4708,-41.651,0.9553,0.4131,5.7523,0.5761,2.7757,ppo_live2
70,-53.2534,-0.8321,-51.7054,-41.651,0.9795,0.4047,5.7494,0.6574,2.8558,ppo_live2
71,-50.4264,-0.7879,-51.7214,-41.651,0.9313,0.3979,5.5149,0.4012,2.8384,ppo_live2
72,-47.3773,-0.7403,-51.5347,-41.651,0.9037,0.3886,5.1844,0.3435,2.4837,ppo_live2
73,-46.8053,-0.7313,-51.0606,-41.651,0.974,0.4073,4.8909,0.5028,2.5318,ppo_live2
74,-45.2632,-0.7072,-50.7157,-41.651,0.9619,0.4597,4.5443,0.5092,3.0038,ppo_live2
75,-43.5237,-0.6801,-50.2175,-41.651,0.9298,0.4025,4.6007,0.2903,2.2934,ppo_live2
76,-47.5233,-0.7426,-50.09,-41.651,0.9134,0.3706,5.2637,0.32,2.2325,ppo_live2
77,-43.028,-0.6723,-49.6387,-41.651,0.9106,0.3996,4.5061,0.3252,2.4438,ppo_live2
78,-50.6164,-0.7909,-49.9775,-41.651,0.8815,0.3869,5.7444,0.269,2.5713,ppo_live2
79,-59.0527,-0.9227,-50.2799,-41.651,0.9145,0.4442,6.7699,0.5915,2.8372,ppo_live2
80,-50.6079,-0.7907,-50.2109,-41.651,0.9448,0.4664,5.4457,0.4329,2.9744,ppo_live2
81,-47.625,-0.7441,-49.8704,-41.651,0.9261,0.5365,4.7669,0.5779,3.6414,ppo_live2
82,-47.4894,-0.742,-49.6909,-41.651,0.9492,0.4404,4.8518,0.6729,2.9399,ppo_live2
83,-43.0616,-0.6728,-49.511,-41.651,0.8689,0.4884,4.1529,0.9183,2.8438,ppo_live2
84,-51.0191,-0.7972,-49.4518,-41.651,0.946,0.5037,5.4194,0.7986,2.4111,ppo_live2
85,-39.0272,-0.6098,-48.6197,-39.0272,0.9643,0.5048,3.5662,0.7494,2.2917,ppo_live2
86,-41.3775,-0.6465,-48.0621,-39.0272,0.9593,0.448,4.139,0.481,2.114,ppo_live2
87,-48.472,-0.7574,-47.9444,-39.0272,0.8831,0.4177,5.3096,0.558,2.2589,ppo_live2
88,-48.9077,-0.7642,-47.8581,-39.0272,0.8898,0.3742,5.3586,0.5858,2.3424,ppo_live2
89,-44.772,-0.6996,-47.4614,-39.0272,0.9646,0.4394,4.5757,0.4719,2.587,ppo_live2
90,-49.4591,-0.7728,-47.2717,-39.0272,0.9438,0.3968,5.4387,0.4176,2.3322,ppo_live2
91,-48.1447,-0.7523,-47.1577,-39.0272,0.9349,0.388,5.2847,0.3558,2.3185,ppo_live2
92,-45.4221,-0.7097,-47.0599,-39.0272,0.908,0.3712,4.9306,0.3445,2.2332,ppo_live2
93,-43.4547,-0.679,-46.8924,-39.0272,0.9389,0.3951,4.5546,0.4039,2.1366,ppo_live2
94,-43.1527,-0.6743,-46.7868,-39.0272,0.8944,0.4495,4.3907,0.446,2.8125,ppo_live2
95,-46.6002,-0.7281,-46.9407,-39.0272,0.9525,0.4468,4.6523,0.7477,3.0146,ppo_live2
96,-41.7454,-0.6523,-46.6518,-39.0272,0.8645,0.4531,4.0486,0.5166,3.4626,ppo_live2
97,-46.2027,-0.7219,-46.8105,-39.0272,0.8892,0.4384,4.88,0.3044,3.1698,ppo_live2
98,-43.6488,-0.682,-46.4621,-39.0272,0.9239,0.4174,4.4522,0.3255,3.0533,ppo_live2
99,-41.8577,-0.654,-45.6024,-39.0272,0.8926,0.467,3.8995,0.8184,3.2959,ppo_live2
100,-41.6971,-0.6515,-45.1568,-39.0272,0.8385,0.4798,3.9515,0.8614,3.1766,ppo_live2
101,-45.4335,-0.7099,-45.0473,-39.0272,0.9136,0.5562,4.2077,1.1115,3.4356,ppo_live2
102,-47.6909,-0.7452,-45.0573,-39.0272,0.9714,0.4373,4.839,0.8646,2.5232,ppo_live2
103,-50.6104,-0.7908,-45.4348,-39.0272,0.8455,0.4275,5.5793,0.7564,2.342,ppo_live2
104,-41.3369,-0.6459,-44.9507,-39.0272,0.9352,0.4234,3.903,1.058,2.0622,ppo_live2
105,-51.0183,-0.7972,-45.5502,-39.0272,0.8872,0.4065,5.455,1.1112,2.1345,ppo_live2
106,-51.2885,-0.8014,-46.0458,-39.0272,0.8945,0.417,5.4012,1.2613,2.1591,ppo_live2
107,-39.1954,-0.6124,-45.5819,-39.0272,0.8706,0.4162,3.7023,0.9617,2.1363,ppo_live2
108,-45.5297,-0.7114,-45.413,-39.0272,0.8959,0.4347,4.7158,0.8154,2.1461,ppo_live2
109,-47.4893,-0.742,-45.5489,-39.0272,0.913,0.4006,5.1163,0.6476,2.0516,ppo_live2
110,-47.0423,-0.735,-45.4281,-39.0272,1.0035,0.386,4.8122,0.8495,2.0758,ppo_live2
111,-50.4438,-0.7882,-45.543,-39.0272,0.9369,0.4203,5.4898,0.6718,2.2036,ppo_live2
112,-42.6829,-0.6669,-45.4061,-39.0272,0.898,0.4465,4.3283,0.543,2.4961,ppo_live2
113,-46.7862,-0.731,-45.5726,-39.0272,0.9615,0.523,4.763,0.4712,3.04,ppo_live2
114,-43.3371,-0.6771,-45.5819,-39.0272,0.9362,0.42,4.508,0.3776,2.3013,ppo_live2
115,-43.9175,-0.6862,-45.4477,-39.0272,0.9459,0.4834,4.45,0.4955,2.5194,ppo_live2
116,-40.6554,-0.6352,-45.3932,-39.0272,0.9588,0.4233,3.8725,0.5758,2.7113,ppo_live2
117,-48.9892,-0.7655,-45.5325,-39.0272,0.9595,0.4793,5.0523,0.5456,3.2527,ppo_live2
118,-39.3889,-0.6155,-45.3195,-39.0272,0.922,0.4852,3.6193,0.5808,3.096,ppo_live2
119,-43.2401,-0.6756,-45.3887,-39.0272,0.9232,0.5602,3.9449,0.8594,3.584,ppo_live2
120,-40.8043,-0.6376,-45.344,-39.0272,0.9053,0.5603,3.6098,0.9284,3.3175,ppo_live2
121,-41.7562,-0.6524,-45.1602,-39.0272,0.9265,0.4554,3.9338,0.8392,2.7677,ppo_live2
122,-47.5889,-0.7436,-45.1551,-39.0272,0.9907,0.4788,4.6243,0.9722,2.9997,ppo_live2
123,-42.0416,-0.6569,-44.7266,-39.0272,0.8965,0.4975,3.9418,0.7679,3.2485,ppo_live2
124,-43.085,-0.6732,-44.814,-39.0272,0.8932,0.4411,4.2043,0.7831,2.8788,ppo_live2
125,-45.0337,-0.7037,-44.5148,-39.0272,0.9589,0.4385,4.3925,0.9047,2.6705,ppo_live2
126,-45.6007,-0.7125,-44.2304,-39.0272,0.8946,0.47,4.5181,1.0439,2.5404,ppo_live2
127,-41.0221,-0.641,-44.3218,-39.0272,0.8829,0.4222,3.9922,0.9089,2.1378,ppo_live2
128,-40.2109,-0.6283,-44.0558,-39.0272,0.9974,0.4793,3.4403,1.0573,2.8916,ppo_live2
129,-42.8408,-0.6694,-43.8234,-39.0272,0.9814,0.4312,4.0064,0.9824,2.5428,ppo_live2
130,-46.613,-0.7283,-43.8019,-39.0272,0.9812,0.4638,4.5438,0.9668,2.7617,ppo_live2
131,-41.6225,-0.6504,-43.3609,-39.0272,0.891,0.3942,3.7515,1.4053,2.5791,ppo_live2
132,-36.1844,-0.5654,-43.0359,-36.1844,0.9787,0.472,3.1838,0.6616,2.1763,ppo_live2
133,-44.4146,-0.694,-42.9173,-36.1844,0.9656,0.4508,4.4399,0.6738,2.4458,ppo_live2
134,-40.5886,-0.6342,-42.7799,-36.1844,0.9583,0.4761,3.7019,0.7446,2.961,ppo_live2
135,-41.3095,-0.6455,-42.6495,-36.1844,0.9397,0.446,3.8367,0.7437,3.0675,ppo_live2
136,-40.1469,-0.6273,-42.6241,-36.1844,0.8919,0.6051,3.2331,1.107,4.2298,ppo_live2
137,-40.2201,-0.6284,-42.1856,-36.1844,0.9365,0.5377,3.3615,1.0644,3.5857,ppo_live2
138,-36.2226,-0.566,-42.0273,-36.1844,0.931,0.4505,3.1901,0.5775,2.7957,ppo_live2
139,-41.7683,-0.6526,-41.9537,-36.1844,0.9168,0.5,3.7758,0.9949,3.1392,ppo_live2
140,-40.9086,-0.6392,-41.9589,-36.1844,0.9297,0.5041,3.6762,0.8875,3.1264,ppo_live2
141,-42.7114,-0.6674,-42.0067,-36.1844,0.924,0.5175,4.0497,0.7238,3.0866,ppo_live2
142,-39.9681,-0.6245,-41.6257,-36.1844,0.9346,0.528,3.5888,0.6474,3.3332,ppo_live2
143,-36.0696,-0.5636,-41.3271,-36.0696,0.921,0.448,3.1182,0.6165,3.0194,ppo_live2
144,-35.7679,-0.5589,-40.9612,-35.7679,0.9307,0.4411,3.0861,0.6227,2.873,ppo_live2
145,-37.315,-0.583,-40.5753,-35.7679,0.8026,0.3854,3.7282,0.4796,2.3289,ppo_live2
146,-38.1807,-0.5966,-40.2043,-35.7679,0.9468,0.4109,3.4985,0.6735,2.5241,ppo_live2
147,-38.5982,-0.6031,-40.0831,-35.7679,0.974,0.3887,3.5961,0.6214,2.3441,ppo_live2
148,-35.8292,-0.5598,-39.864,-35.7679,0.8836,0.3968,3.4243,0.2795,2.5524,ppo_live2
149,-38.8763,-0.6074,-39.6658,-35.7679,0.9797,0.4306,3.4776,0.6441,2.9493,ppo_live2
150,-36.9864,-0.5779,-39.1844,-35.7679,0.9917,0.4658,3.0572,0.5913,3.5292,ppo_live2
151,-37.1686,-0.5808,-38.9617,-35.7679,0.993,0.4649,3.1295,0.532,3.4512,ppo_live2
152,-39.0312,-0.6099,-39.1041,-35.7679,0.9073,0.529,3.4728,0.5696,3.5776,ppo_live2
153,-36.6908,-0.5733,-38.7179,-35.7679,0.9488,0.4444,3.2637,0.5608,2.7174,ppo_live2
154,-37.3989,-0.5844,-38.5584,-35.7679,0.9888,0.4389,3.0461,1.207,2.4564,ppo_live2
155,-32.4203,-0.5066,-38.114,-32.4203,0.9926,0.4201,2.4502,0.8427,2.4759,ppo_live2
156,-35.3784,-0.5528,-37.8755,-32.4203,1.0085,0.4444,2.8329,0.959,2.4031,ppo_live2
157,-39.1577,-0.6118,-37.8224,-32.4203,0.9914,0.3706,3.817,0.5396,1.7965,ppo_live2
158,-33.2866,-0.5201,-37.6756,-32.4203,1.0034,0.39,2.7427,0.6274,2.2226,ppo_live2
159,-35.1714,-0.5496,-37.3458,-32.4203,0.9789,0.4325,2.9925,0.673,2.4093,ppo_live2
160,-35.5443,-0.5554,-37.0775,-32.4203,0.9466,0.4473,3.0946,0.6814,2.3751,ppo_live2
161,-37.0005,-0.5781,-36.792,-32.4203,1.0003,0.4443,3.105,0.8167,2.7267,ppo_live2
162,-36.2297,-0.5661,-36.6051,-32.4203,0.9186,0.3805,3.3728,0.4517,2.4708,ppo_live2
163,-40.0203,-0.6253,-36.8026,-32.4203,0.9524,0.3959,3.7598,0.7048,2.5719,ppo_live2
164,-37.9551,-0.593,-36.912,-32.4203,0.9452,0.4099,3.5916,0.3958,2.5916,ppo_live2
165,-38.3165,-0.5987,-36.9621,-32.4203,0.981,0.3892,3.6253,0.5038,2.218,ppo_live2
166,-33.5004,-0.5234,-36.728,-32.4203,0.9728,0.3958,2.9198,0.4902,2.0617,ppo_live2
167,-34.0899,-0.5327,-36.5026,-32.4203,0.9692,0.4276,2.7705,0.8031,2.4348,ppo_live2
168,-34.3108,-0.5361,-36.4267,-32.4203,0.9854,0.4155,2.7916,0.5745,2.9815,ppo_live2
169,-37.6348,-0.588,-36.3646,-32.4203,1.0149,0.4586,3.2373,0.5351,3.1197,ppo_live2
170,-38.6784,-0.6043,-36.4492,-32.4203,0.9808,0.5099,3.393,0.4941,3.3863,ppo_live2
171,-34.6165,-0.5409,-36.3216,-32.4203,0.9259,0.4196,3.0594,0.3778,2.8089,ppo_live2
172,-38.7217,-0.605,-36.3061,-32.4203,0.9779,0.5025,3.129,0.9553,3.6273,ppo_live2
173,-36.1993,-0.5656,-36.2816,-32.4203,0.9935,0.4627,2.7969,1.0045,3.1768,ppo_live2
174,-36.4898,-0.5702,-36.2361,-32.4203,0.9767,0.5253,2.8242,1.004,3.2382,ppo_live2
175,-35.924,-0.5613,-36.4113,-32.4203,0.9352,0.5145,2.8358,1.05,2.9621,ppo_live2
176,-36.1344,-0.5646,-36.4491,-32.4203,0.9155,0.454,3.0103,0.9542,2.7914,ppo_live2
177,-33.5533,-0.5243,-36.1689,-32.4203,0.98,0.4548,2.4064,1.134,2.8599,ppo_live2
178,-34.0786,-0.5325,-36.2085,-32.4203,0.992,0.418,2.7543,0.8271,2.2994,ppo_live2
179,-36.3973,-0.5687,-36.2698,-32.4203,1.0005,0.479,3.0918,0.8309,2.1978,ppo_live2
180,-35.5881,-0.5561,-36.272,-32.4203,0.9913,0.4099,2.9739,0.7686,2.5523,ppo_live2
181,-35.1337,-0.549,-36.1786,-32.4203,0.9416,0.4172,3.1418,0.4406,2.5322,ppo_live2
182,-30.6059,-0.4782,-35.8974,-30.6059,0.9747,0.4444,2.3748,0.4048,2.6039,ppo_live2
183,-33.4679,-0.5229,-35.5698,-30.6059,0.8777,0.386,3.1477,0.3113,2.0829,ppo_live2
184,-28.5569,-0.4462,-35.0999,-28.5569,0.9694,0.4035,2.2084,0.2803,2.2876,ppo_live2
185,-25.7962,-0.4031,-34.4739,-25.7962,0.9517,0.4619,1.6987,0.3071,2.5997,ppo_live2
186,-31.3455,-0.4898,-34.3661,-25.7962,0.9606,0.409,2.6083,0.3214,2.4171,ppo_live2
187,-35.5063,-0.5548,-34.437,-25.7962,1.0089,0.4582,2.9455,0.5809,2.8476,ppo_live2
188,-31.4658,-0.4917,-34.2947,-25.7962,1.0156,0.4512,2.4312,0.4454,2.5684,ppo_live2
189,-32.2251,-0.5035,-34.0242,-25.7962,0.9557,0.4415,2.6555,0.5488,2.2543,ppo_live2
190,-33.0339,-0.5162,-33.742,-25.7962,0.9879,0.4881,2.3309,1.1856,2.5596,ppo_live2
191,-35.3654,-0.5526,-33.7795,-25.7962,0.9872,0.4858,2.8217,0.8699,2.7271,ppo_live2
192,-35.8384,-0.56,-33.6353,-25.7962,0.9944,0.5039,2.7068,1.0519,3.1176,ppo_live2
193,-37.8184,-0.5909,-33.7162,-25.7962,0.9905,0.5259,3.0513,0.9506,3.1693,ppo_live2
194,-31.7104,-0.4955,-33.4773,-25.7962,0.9373,0.4444,2.4061,0.8349,2.5153,ppo_live2
195,-31.4035,-0.4907,-33.2512,-25.7962,0.9725,0.432,2.2663,1.0178,2.2843,ppo_live2
196,-37.1029,-0.5797,-33.2997,-25.7962,0.9829,0.4814,2.7826,1.4492,2.875,ppo_live2
197,-34.8286,-0.5442,-33.3634,-25.7962,0.9629,0.4773,2.4783,1.3347,3.0668,ppo_live2
198,-31.0783,-0.4856,-33.2134,-25.7962,0.9211,0.4346,2.2259,0.993,2.6736,ppo_live2
199,-32.1685,-0.5026,-33.002,-25.7962,0.9775,0.4723,2.448,0.7695,2.4559,ppo_live2
200,-29.7071,-0.4642,-32.7079,-25.7962,0.9904,0.4183,2.1609,0.4635,2.7718,ppo_live2
201,-29.5937,-0.4624,-32.4309,-25.7962,1.0012,0.4358,2.096,0.5232,2.7338,ppo_live2
202,-29.5087,-0.4611,-32.3761,-25.7962,1.0278,0.4724,2.0403,0.5153,2.6744,ppo_live2
203,-30.251,-0.4727,-32.2152,-25.7962,0.9627,0.4525,2.1949,0.7174,2.514,ppo_live2
204,-30.6889,-0.4795,-32.3218,-25.7962,0.9274,0.3864,2.2438,0.8311,2.7575,ppo_live2
205,-33.2647,-0.5198,-32.6953,-25.7962,0.9817,0.4662,2.4717,0.9217,2.797,ppo_live2
206,-35.6683,-0.5573,-32.9114,-25.7962,1.0432,0.4475,2.559,1.3648,2.7161,ppo_live2
207,-33.6026,-0.525,-32.8162,-25.7962,0.9889,0.5011,2.4352,1.0002,2.9064,ppo_live2
208,-31.6561,-0.4946,-32.8257,-25.7962,1.0032,0.4431,2.1823,1.0125,2.6566,ppo_live2
209,-38.8383,-0.6068,-33.1564,-25.7962,0.9967,0.5157,3.1382,1.0787,3.1899,ppo_live2
210,-27.8301,-0.4348,-32.8962,-25.7962,0.9903,0.4424,1.7452,0.5967,2.9912,ppo_live2
211,-32.6525,-0.5102,-32.7605,-25.7962,0.9724,0.4252,2.5928,0.4326,3.1082,ppo_live2
212,-32.3132,-0.5049,-32.5843,-25.7962,1.0313,0.4081,2.4508,0.6157,2.696,ppo_live2
213,-35.7236,-0.5582,-32.4795,-25.7962,1.0263,0.3832,3.1026,0.5096,2.4668,ppo_live2
214,-32.1205,-0.5019,-32.5001,-25.7962,1.0092,0.4582,2.4484,0.4573,2.9943,ppo_live2
215,-27.8036,-0.4344,-32.3201,-25.7962,0.9404,0.42,1.9737,0.427,2.682,ppo_live2
216,-33.1052,-0.5173,-32.1202,-25.7962,0.9766,0.4813,2.4214,0.7202,3.4288,ppo_live2
217,-35.1387,-0.549,-32.1357,-25.7962,0.9528,0.4163,3.0316,0.5232,2.7988,ppo_live2
218,-31.9583,-0.4993,-32.1797,-25.7962,1.0117,0.4596,2.4979,0.4032,2.7326,ppo_live2
219,-32.0446,-0.5007,-32.1735,-25.7962,0.9725,0.4236,2.5531,0.3909,2.9394,ppo_live2
220,-33.1555,-0.5181,-32.3459,-25.7962,0.9478,0.4098,2.5007,0.852,3.1362,ppo_live2
221,-33.2819,-0.52,-32.5303,-25.7962,1.0311,0.4205,2.4984,0.6017,3.2208,ppo_live2
222,-33.5356,-0.524,-32.7317,-25.7962,1.024,0.4505,2.461,0.7198,3.2885,ppo_live2
223,-30.2958,-0.4734,-32.7339,-25.7962,1.0023,0.526,1.863,0.6837,3.8122,ppo_live2
224,-24.0932,-0.3765,-32.4041,-24.0932,0.9659,0.4217,1.3498,0.5856,2.3108,ppo_live2
225,-28.1703,-0.4402,-32.1494,-24.0932,1.006,0.4832,1.6142,1.0266,2.6179,ppo_live2
226,-32.6275,-0.5098,-31.9974,-24.0932,0.9745,0.4699,2.3964,0.9604,2.6235,ppo_live2
227,-33.2546,-0.5196,-31.98,-24.0932,0.9371,0.4602,2.6179,0.869,2.5395,ppo_live2
228,-27.5207,-0.43,-31.7732,-24.0932,0.9712,0.4211,1.9141,0.6051,2.0804,ppo_live2
229,-28.6855,-0.4482,-31.2655,-24.0932,1.0259,0.4422,2.0624,0.5223,1.9928,ppo_live2
230,-28.7697,-0.4495,-31.3125,-24.0932,1.011,0.436,1.9765,0.6948,2.1844,ppo_live2
231,-26.1324,-0.4083,-30.9865,-24.0932,0.9521,0.4148,1.7296,0.5966,2.0985,ppo_live2
232,-26.7839,-0.4185,-30.7101,-24.0932,1.0162,0.4037,1.8634,0.3734,2.0442,ppo_live2
233,-29.1543,-0.4555,-30.3816,-24.0932,0.9745,0.3884,2.3325,0.3438,1.9755,ppo_live2
234,-26.2428,-0.41,-30.0877,-24.0932,1.032,0.3818,1.8324,0.3214,1.842,ppo_live2
235,-24.6542,-0.3852,-29.9302,-24.0932,1.0293,0.3934,1.4924,0.5426,1.7394,ppo_live2
236,-26.2012,-0.4094,-29.585,-24.0932,0.9893,0.4042,1.7675,0.4815,1.9981,ppo_live2
237,-28.4216,-0.4441,-29.2492,-24.0932,1.0109,0.3954,2.1588,0.26,2.19,ppo_live2
238,-26.6581,-0.4165,-28.9842,-24.0932,1.0311,0.419,1.703,0.3912,2.5527,ppo_live2
239,-27.4517,-0.4289,-28.7545,-24.0932,1.0297,0.439,1.6977,0.5625,2.7316,ppo_live2
240,-29.4098,-0.4595,-28.5672,-24.0932,0.9835,0.4272,1.9162,0.7409,3.0989,ppo_live2
241,-29.1404,-0.4553,-28.3602,-24.0932,0.9716,0.4499,1.8231,0.8222,3.1833,ppo_live2
242,-27.248,-0.4258,-28.0458,-24.0932,0.9985,0.4053,1.5465,0.9374,2.7096,ppo_live2
